,Incident Description,Record Classification
26,Contractor sustained a spider bite on 3/23 while working on the evening shift but did not report it until 3/28/07 when she received medical treatment.,Level2
27,Contractor experienced eye discomfort after removing corrosion with the aid of a needle gun from the shell of a tower. ,Level2
28,Employee sustained lacerations to the hand from contact with a drill press bit.,Level2
29,Employee  strained his back while lifting a bucket of parts from the floor onto a work table.,Level2
30,"Employee injured his knee when he stuck his leg in a closing elevator door to stop it, and the door closed on his leg.",Level2
31,Employee received an acid burn to the leg after slipping on an acidic mixture and falling on the floor of the acid / ore prep area.,Level2
32,"Contractor was grinding a weld when his hood became fogged up.  He lifted the hood up and continued to grind, then felt something in his right eye. ",Level2
33,"Employee lost his footing, fell back and bumped his head on the ground while disconnecting an electric motor to a methanol transfer pump. ",Level2
34,Employee received a bruised shoulder when involved in an automobile accident while traveling from HRO to OHC.  His automobile was struck by another driver who ran a red light.  ,Level2
35,"Employee slipped on the top of a four-step stairway as he began descending, resulting in a broken finger. ",Level2
36,"Employee notified supervision of a ?sore knee.? Medical follow up resulted in restricted duty. Employee was involved in a mitigation outage that required greater than normal walking and climbing, which is believed to be the cause of the injury. ",Level2
37,Contractor doing clerical work fell while walking down a stairway causing an ankle fracture.  ,Level2
38,Contractor sustained an open fingertip fracture to the 4th finger while unloading 8' scaffold plank boards from the back of a truck to stage on rolling cart. Contractor?s finger was caught between the scaffold plank and a vertical post of the rolling cart.,Level2
39,Contractor suffered a laceration and contusion of the torso and a collapsed lung while performing a hydro/grit blast of the #8 Chlorinator shell. Initial investigation indicates equipment failure at a threaded connection. (Level III),Level2
40,Employee received a chemical burn to the chest and forehead while dismantling a pipe.  Water reacted violently with residual TiCl4 remaining in the pipe and acid went between the full face mask and coverall.,Level2
41,Contractor crushed finger between two poles while arranging scaffolding poles in a truck.,Level2
42,"While in the process of opening a valve, an Employee lost his grip on a valve wrench and struck his thumb on adjacent process piping. ",Level2
43,"Contractor was coming out of the back of his truck and fell as he stepped onto a bucket to lower himself, injuring his left shoulder when he hit the ground.  ",Level2
44,"Contractor experienced a recordable injury when a piece of metal slag got into his left eye while he was beveling a section of pipe for a pipeline project at Channelview North.  The individual was wearing safety glasses, and he believes the metal was blown over the top of his glasses.   ",Level2
45,Contractor injured his lower back while tossing a bag of garbage toward a dumpster. ,Level2
46,"While Employee was holding a sample bottle, it slipped from his right hand and as he tried to catch it with his left hand, it broke and cut the  tip of his finger. He was wearing latex gloves.  ",Level2
47,"Two contractors were using hand-held scraping devices to remove polymer from the inside walls of a vessel.  During the removal, one of the employee?s scraper slipped from the vessel wall and struck the other employee on the thigh, causing a laceration.",Level2
48,Employee injured his lower back while moving catalyst carboys from a storage building and loading them onto a carboy carrier that was on the forks of a lift truck on the dock of the storage building. ,Level2
49,"Contractor experienced abdominal strain after lifting/ repositioning a 6"" pipe spool. Reported the incident on 6/14/07.  Follow up with a physician on 06/20/2007 resulted in diagnosis of a hernia that required medical treatment and restricted duty.",Level2
50,Contractor strained his back while pulling remediation well pumps resulting in medical treatment. ,Level2
51,Operator was burned in face and neck area due to steam exposure.  The exposure occurred when walking past an open manhole of a clay treater that had been steamed out for entry shortly before.,Level2
52,"Contractor was removing bolts on a flange to install a blind on a furnace, when the plastic retainer on the socket spun off, striking the employee on the right foot, 1/4 of an inch behind the steel cap of his safety boot, causing the foot to swell. ",Level2
53,Contractor experienced puncture to left foot from a piece of metal wire while walking through the Olefins unit. ,Level2
54,Employee injured his hand while assisting another employee lift the tongue of a cement mixer onto a hitch when his hand slipped and struck the mixer.  ,Level2
55,"Contractor, on her way to parking lot,  fell off a bicycle while carrying a closed umbrella in her right hand. It began to rain, and she tried to hurry. The umbrella tip caught in the front wheel of the bicycle and she slipped on  the wet ground, skinning   right elbow, right knee, nose, and face (jaw area). Also, two front teeth were broken.",Level2
56,"While Employee was resetting an over speed trip on a steam turbine, hot condensate was released from the steam stack resulting in a burn to the right shoulder.",Level2
57,Climbing out of airfan hood Contractor sprained his ankle stepping on the sloping fin fan enclosure.,Level2
58,Contract employee under direct Lyondell supervision strained his ankle when he stepped down onto the gravel to inspect rtc?s while carrying out shunting activities with the locomotive.,Level2
59,Employees were changing a filter cloth on #1 drum and while preparing to install the new cloth an employee?s finger was caught between the pipe flange and the pipe cradle. ,Level2
60,"Contractor slipped and fell at grade as he walked from car to report to work.  He extended his arms forward to catch the fall, resulting in a finger injury. ",Level2
61,Contractor experienced a puncture wound to their hand on 7/17/07 that resulted in a recordable injury.  ,Level2
62,"Employee was removing a RV off of an ethylene oxide railcar for repair and was wearing full face breathing air as required.  After removing the bolts off of the flange, the RV was propelled into the face mask.   ",Level2
63,Contactor fractured right thumb while working on 633 HDS Unit removing bolts from a manway and was holding back-up with a hand wrench while using a torque wrench on the other nut. The hand wrench became loaded from the torque wrench and ejected from the nut striking the vessel and then striking the employee in the hand and injuring his right thumb.  ,Level2
64,Employee lacerated leg after falling from a stepladder from approximately 3' onto a hose reel lying on the ground.  Employee was standing on a stepladder to remove a screw from a conduit clamp attached to the wall.  ,Level2
65,"Contractor installing scaffolds for an upcoming turnaround was lifting scaffold boards and experienced a pain in the lower back. The incident was initially classified as a first aid case; however, follow-up medical treatment was required.",Level2
66,"Contractor was cleaning the opening of a 2"" pipe when the water mole came out of the pipe.  The mole whipped around and struck the contractor on upper right chest area before he could remove his foot from the water pressure control pedal, resulting in an injury requiring medical treatment.",Level2
67,Contractor was treated for heat related illness after having felt ill while roller painting on piping of a sleeper rack on northwest part of the plant.  ,Level2
68,Contractor suffered a puncture wound and fracture to the right forearm when a spud wrench fell from approximately 20' elevation and struck his right forearm.  (Level III),Level2
69,"Contractors were setting up and testing a second rig (50K).  One contractor was holding a Gyro-Gun while being pressured up when a fitting failed on the high pressure hose causing it to blow back towards his shoulder and under arm area resulting in a laceration. After further evaluation, it was determined the laceration was caused by contact with the fitting or whip lock versus water penetration. ",Level2
70,"Employee felt a pop in his right shoulder while opening the west head during a screen change on Line #1, resulting in a strained shoulder.",Level2
71,"Contractor was cleaning a pneumatically operated mixing machine when the rag he was using got caught on the head of the bolt which connects the mixing paddle to the rotating shaft.  He was unable to let go of the rag before the sleeve of his Nomex coveralls wrapped around the shaft and pulled him into the machine, resulting in two breaks to the right forearm.  ",Level2
72,While loading a railcar an Employee handling a 3? stainless steel braided hose received a puncture wound due to a frayed area on the hose. A frayed wire entered the pad of the finger and exited near the nail bed.,Level2
73,"While beginning to clean a sewer, the jet nozzle on the line mole came off just as the hose was being pressured up (1600#). The hose backed out of the drain hole striking the contractor supervisor in the face resulting in a laceration and broken nose.",Level2
74,"When the welder stamped his qualification number in the pipe flange beside the weld he missed the stamp device with the hammer and struck his thumb, resulting in a laceration that required medical treatment.",Level2
75,"While performing maintenance on a Freon compressor in the Polyols unit, Contractor struck an emergency shutdown button which was protected by a Plexiglas window. The Plexiglas broke and the contractor injured his right little finger on the sharp edges.  He was wearing leather gloves during the incident.",Level2
76,"Contractor had fingers caught between pipe and a dumpster while placing a ""Z"" shaped two-inch pipe over the edge of the dumpster resulting in a laceration to fingers.",Level2
77,A Star Cooling Tower employee was struck by cooling tower material being dismantled resulting in loss of consciousness and laceration to the face.  The individual was tied off. ,Level2
78,"During an emergency drill Contractor was pulling 5? hose from F-4.  As he was pulling the hose from the fire truck hose bed, the Stortz coupling slid off the truck and stuck him in the mouth causing a laceration on his lower lip and chipping his two front teeth.",Level2
79,Contractor tripped over a steam hose and injured his back resulting in medical treatment.,Level2
80,"Contractor working on 634 HDS turnaround approached an 8-1/2 ton carry deck crane to receive paperwork from operator at same time outriggers for crane were being lowered.  He was positioned such that left rear outrigger was lowered onto his right foot, resulting in a fracture.",Level2
81,Bolt fell from elevated structure approximately 10 foot fall and struck Contractor on shoulder. ,Level2
82,"During removal of a control valve at Truck Loading, Contractor caught his finger  between the valve flange and the pipe support. At the moment the valve was released from between the flanges it swung slowly towards the pipe support which he countered by pushing back with his hands, pinching his finger between bonnet flange and pipe support. ",Level2
83,Contractor knelt down onto nail protruding through plywood while revising scaffold. ,Level2
84,Employee was disconnecting steam hose from Heavy Ends Reflux Drum in Acetic Acid when hot condensate came out and got inside of his boot causing a burn to the lower leg.  ,Level2
85,"Employee was on a ladder locking out a valve above a large heat exchanger. The ladder slipped and employee and ladder fell to the ground. Employee struck side of face, head and body when they fell, requiring sutures and prescription medication.",Level2
86,A vehicle exiting the LaPorte Turnaround parking lot at Gate 9 struck a District 8 Constable?s Deputy who was standing on Miller Cut-Off Road directing traffic.  The officer suffered a compound fracture to one leg and closed fracture to an arm/wrist.ÿ Level III,Level2
87,"While installing pipe braces on new seal pot vent lines above IPOH unit's Hydrogen compressor, Contractor's secondary fall protection lanyard became entangled around the motor shaft of the compressor. Secondary fall protection lanyard fell between the compressor housing and the shaft's coupling guard.  Incident resulted in injuries to the head and foot. ",Level2
88,"During lunchbox checks, Contractor?s foot slipped on rocks and she twisted her right knee resulting in a sprain.",Level2
89,"Contractor stepped off of a ladder on Drum 2403 and fell to the ground on his side, resulting in internal injuries. Level III",Level2
90,Contractor stepped down from his cabin on a gravel surface and twisted his left ankle. Height was approximately 2 feet caused by the fact that the ladder lift was positioned on outriggers.,Level2
91,"While on a return trip from a customer visit, an Employee wrenched his neck when he was startled awake by an announcement being made on the airplane. ",Level2
92,"While in the process of cutting a piece of plywood, Contractor received a cut on the left hand from a circular saw. Level III",Level2
93,"Upon exiting a vehicle, Contractor twisted his ankle resulting in a sprain.",Level2
94,Contractor was walking on sluiceway grating between track #1 and 737 Coker Pit wall when he fell into an opening in the sluiceway where the grating had been displaced. Contractor received a laceration and contusion to his right knee and ankle. ,Level2
95,"While pressuring up a hydro-blast system, Contractor was injured when the hydro-blast lance propelled out of the exchanger tube, and pressurized water spray made contact with employee?s left hand, causing a severe abrasion.  Level III",Level2
96,"One Employee was closing the discharge isolation valve on a pump in preparation to turn it over to maintenance. A  second Employee, who was assisting, began to close the valve until it was back seated.  While closing the valve, the first Employee pulled the steel valve wrench toward himself when it slipped off the hand wheel striking him in the safety glasses causing a laceration of the left eyebrow.  ",Level2
97,Contractor caught finger between main restroom door and a door inside the restroom.ÿ Caused laceration to finger requiring 6-8 stitches. ,Level2
98,"Contractor slipped on building floor at gate #5, strain/sprain to neck and shoulder. ",Level2
99,"During Fitness for Duty testing, employee aggravated pre-existing condition requiring medical treatment. ",Level2
100,"Employee was maneuvering metal trench plates that were installed incorrectly.  While moving one of the trench plates Employee felt pain in their lower back, resulting in a Back sprain as a result of lifting.  The Technician was evaluated by site medical personnel and transported to a local hospital where he received medical treatment.",Level2
101,"Employee working in the 735 Reformer area was cutting wire when he experienced a laceration to the left index finger and tendon, requiring medical treatment.",Level2
102,"Employee was walking down the stairs of a platform in the tank farm area. As he stepped down onto the last step, the ankle twisted resulting in a fall to the ground, resulting in the ankle being broken in two places.",Level2
103,"Contractor fell from a step stool in the OP-2 Control Room and injured (R) knee, requiring medical treatment.",Level2
104,"Employee slipped on ice during cleanup operations. He fell, striking his shoulder, back & hard hat.  The incident was classified as recordable when the employee reported to work on 1-3-08 following a second visit to the physician. ",Level2
105,"Employee incurred back strain when the chair base he was attempting to sit in suddenly dropped 8-12"" due to failure in the pneumatic seat height adjustment mechanism.  ",Level2
106,Employee slipped on wet floor resulting in a broken rib. ,Level2
107,"Whilst climbing down from a box used to store empty bags, person broken their heel bone. ",Level2
108,"Whilst removing the blade assembly from a pelletizer, the allen key slipped out of the bolt causing the persons hand to hit one of the blades. This resulted in a laceration requiring 3 stitches. Leather gloves were being worn. ",Level2
109,Contractor struck by FLT resulting in a broken foot. ,Level2
110,"
Whilst closing gate, the gate struck the persons leg resulting in bruised ligaments. ",Level2
111,"Whilst carrying an item through the workshop, person tripped over a pallet. The pallet was not placed in walkway but in a ""normal"" location on the workshop floor. This resulted in a sprained ankle. ",Level2
112,Contractor was struck on the hard hat by a falling piece of 2X4 board (approximately 18? in length).  The employee complained of neck pain and was taken off site for evaluation and required medical treatment.,Level2
113,"Contractor working an IUP job at Tank 883m, was struck by an equipment mat that was being moved by an all terrain forklift. The injury resulted in a fracture to the leg requiring medical treatment.",Level2
114,"Employee suffered a severe ankle sprain after falling from a fixed ladder, while holding on with one hand and pushing open the platform safety swing gate with the other hand. The ladder was wet and his hand slipped causing him to fall approximately 4-6 feet to the ground. ",Level2
115,A subcontractor (Camom) injured by cut with a knife when opening a box (two fingers injured on right hand). ,Level2
116,"Whilst opening a bag at a slitting station with a knife, an employee suffered a cut to their hand. The laceration required stitches.",Level2
117," Whilst performing a pressure test, the pressure gauge blew out and the operator instinctively moved away dislocating their shoulder by this movement. ",Level2
118,"Whilst walking down a section of stairs correctly holding onto the handrail, person missed their footing. Arms used to braced the fall on the handrail resulting in an injury to their shoulder. ",Level2
119,"Whilst descending stairs, a contractor suffered a foot sprain. ",Level2
120,"Whilst performing cleaning activities, two contractors were sprayed with corrosive cleaning fluid leading to skin and eyes irritations.",Level2
121,"Whilst changing a light, contractor suffered blow to head which required stitches.",Level2
122,"While preparing for loading a truck and operating the loading arm, Employee caught the middle finger of his right hand between the loading arm and a flange, causing a slight phalanx fracture of his finger tip. The operator was wearing appropriate gloves. ",Level2
123,"Employee experienced a fracture of left fibula (calf bone). While descending stairs he tripped over a water hose that was stretched across the stair and approximately 5? above the stair.  Employee lost his balance, tried to regain balance by stepping onto the left leg when the ankle rolled under resulting in the injury. ",Level2
124,"Early on the morning of February 20th, following snowfall of 1?, a RedCap contract employee slipped while exiting a vehicle outside the polypropylene control room.  Later that night, the individual received medical treatment and 3 days off work due to a bruised tailbone. ",Level2
125,"While working inside VAM cooling tower (west cell) Contractor was ascending a ladder when at approximately 4 feet up the ladder the Contractor slipped and fell to lower deck. Contact with a horizontal cross member (2 x4) before landing on deck below resulted in side and back pain, requiring  medical treatment.   ",Level2
126,"Two Contractors were working in ABIII removing a scaffold.  One contractor was removing scaffold poles and handing them to contractor located below.  While loosening a clamp bolt on a scaffold pole, contractor located above dropped the wrench he was using, and it struck the contractor located below.  The contractor struck by the wrench suffered a broken tooth, requiring medical treatment.  ",Level2
127,"While threading a bolt hole, the tap failed and broke between the handle and the pump base, creating a sharp, irregular edge on the shaft of the tool which protruded up from the work.  The force of the tap failure caused the Contractor?s hand to come across the sharp edge, lacerating his left ring finger.",Level2
128,"Employee was emptying an octabin of pellets to the feeding box. He elevated the back side of the octabin, and then he went to do some adjustments of the pellets unloading next to the front part of the octobin. The octobin moved and trapped the Operator?s left arm.",Level2
129,Employee slipped on his way from the intermediate raw material warehouse and felt on his right elbow producing an injury in his shoulder.,Level2
130,Contractor cut the back of his left thumb between the first and second joint while cleaning dried paint from a paint roller handle using a box knife.  The laceration required medical treatment.,Level2
131," While performing a pressure test on a heat exchanger, pressure gauge blew out and person instinctively moved away and dislocated their shoulder.",Level2
132,Employee cut their finger on cable duct.,Level2
133,Employee suffered burns to hand due to a short to earth. ,Level2
134,"Employee tripped and fell while walking over piping, carrying a glass sample bottle. The fall caused contusions to the face and lacerations to the right hand from the shattered glass bottle.",Level2
135,"Contractor was assisting a welder in preparing a pipe weld on a tube in Furnace #1.  Upon exiting the furnace, the employee experienced discomfort from a foreign body in the right eye.  Contractor reported for initial medical attention on site, but was later treated at an off-site medical facility. ",Level2
136,After completing a cut on a section of 6? pipe the pipe shifted approx. 1? and the contractor's index finger was caught in a pinch point.  ,Level2
137,"Contractor was transferring finished product from one FIBC to another, and at some stage during the operation the flow of material increased, he reached for the sock to reduce the flow and fell injuring his arm and resulting in a sprain to his arm. ",Level2
138,"An employee was sitting at her desk. Her right leg went to sleep and when she got up, the ankle twisted and she fell resulting in a broken ankle. ",Level2
139,During the dismantling of an electric motor an employee sustained a contusion to his middle finger.       ,Level2
140,"During installation of #6 Furnace Decoke Valve operator, a contractor was in the process of aligning the operator to the valve, when the valve operator came loose, fell and struck the contractor?s hard hat which in turn pushed his safety glasses against his face causing a laceration to the right eye.     ",Level2
141,"While clearing a lathe collection tray of metal shavings, the employee was holding a ?ball? of shavings in his right hand and attempted to break a metal strand of the shavings by twisting and cutting with pliers.  The tension on the metal strand of shavings cut through the leather glove causing a laceration to the right index finger.  ",Level2
142,"During a routine control tour, a contractor watchman entered the finishing building with his car because he saw white fumes. He called an operator who came and checked that everything was in order. As contractor left the building, he drove backwards and collided with a concrete column. A few minutes later, he felt a pain in the neck and was transported by ambulance to the hospital where a pinch of the cervical vertebra was diagnosed. ",Level2
143,"Contractor received a laceration to the finger while striking a cotter (piece used to lock the scaffolding). The finger was hit by the key, used for this operation, against the cotter. This is a repetitive movement done by the scaffolders, more than one hundred times per day. ",Level2
144,Contractor security guard was bitten on the finger by his guard dog. The wound required several stiches but the guard was able to return to his next shift. ,Level2
145,"After changing die plate and screen, operators started up machine and do stranding. Operator A held strands, operator B took scissors and cut; but lots of strand broke.  Meanwhile, operator C was standing beside operator A, so he helped to take the broken strands and let operator B cut again.  Unfortunately, the scissors touched his left hand, and his fingers were injured. ",Level2
146,"Materials contractor was moving boxes to the warehouse using a forklift.  He stopped the forklift on a slope and went to open the warehouse gate.  The forklift rolled backward and blocked his foot against the gate, resulting in a sprained ankle.  ",Level2
147,"While opening a drain valve, an operator's valve wrench slipped and pinched the tip of (L) index finger between the valve wrench and the valve wheel handle.  This resulted in a laceration to the (L) index finger which required medical treatment.",Level2
148,"Contractor of the second line project, was drilling a hole in a rail track using a drill designed for that job.  When he reached about 50% of the drilling in the wall of the rail, he experienced problems to progress further, so he took out the drill and tried to finish the job using hammers, one inserted in the hole and other to hit the one in the hole. Suddenly, the hammer in the hole broke and a metal splinter flew hitting and inserting in the contractor?s abdomen. Medical treatment was required.",Level2
149,"During the PP Shutdown a Crane and Hoist Company temporary contract employee was at the top of the JLX IBC lift working on replacing the lift chain.  While he was rotating the sprocket by hand to put slack into the chain to remove a link pin, the tip of his middle finger became pinched between the sprocket and chain resulting in a fracture of a middle fingertip and a laceration requiring medical treatment.",Level2
150,"Forklift operator backed his forklift into a pole that was attached to the building structure.  This contact shook the rafters, knocking down dust and a piece of unistrut that was about 30 inches long and weighed nearly 4.5 pounds.  The unistrut had a 14"" piece of all-thread attached.  This piece fell from above onto the head of a line 1 lead operator, who was standing several feet away.  The employee received medical treatment for a head laceration. ",Level2
151,During grinding work with an angle grinder on a pipe weld a contractor touched the grinding wheel with his thumb. Medical Treatment was required. During the work he wore leather gloves.,Level2
152,"Project Turnaround Management employee was involved in an automobile accident while traveling from LPO to CVO on company business.   While the employee was stopped at a red light, they were rear ended by a large truck.  The force of the sudden and unexpected collision resulted in neck pain which developed over the course of the day.  That evening, the employee went to a doctor and was prescribed pain medication.
",Level2
153,A Brandt rail maintenance contractor was pulling spikes from cross ties. He was applying leverage on the bar to pull a spike and the bar slipped off the spike and struck him in the color bone. He was first seen by an EMT and then taken to a doctor and received medical treatment.,Level2
154,"Contractor was walking on a platform in the bagging line at the warehouse to remove an unsealed 25 k bag,  He lost balance when he stepped on an open space in the grid of the platform. As a result he struck his head against a motor suffering cuts in his eyebrow and the cheek, requiring medical treatment. ",Level2
155,Lab Technician was in the process of cutting plastic ODR pieces from a plaque using an arbor press when the handle came apart and caused the cutting head to drop onto the techs right middle finger resulting in a cut. The technician was transported to an off site medical facility for treatment where sutures were required to close the wound.,Level2
156,"Contractor was working on the ground in the 634 unit and disconnected a vacuum hose from a section of stand pipe that was being suspended by the crane. When the vacuum hose was disconnected, the stand pipe swung and hit him in the chin.  The injury required stitches.",Level2
157,"Contractor was removing inactive overhead feeder cables using a hand rope line and pulley to lower the cables down as another contractor was cutting the cables.  The contractor on the ground had the rope line wrapped around himself.  The weight of the dropping cable, after it was cut, quickly swung the contractor into a wooden utility pole, striking his right side against a sign that was metal bracketed on the pole.  The contractor was transported to a local hospital where he received treatment for a fracture to the hip.",Level2
158,While in the process of untangling a thermocouple wire from the mixer drop door on Line#2 the supervisor severed the tip of his right ring finger when it was pinched between the mixer body and the fully extended mixer drop door. The injury required immediate medical treatment at the local hospital.,Level2
159,Operator in the High Density Unit was using a large pry bar to remove hard poly from J Line chute after extruder shut down. The pry bar glanced off the poly and struck the operator's left foot just behind the steel toe. The operator was examined by site EMTs and then transported to Medical Associates for further evaluation. The x-ray revealed that the second to the smallest left toe was fractured.  ,Level2
160,"While repairing a cable, a contractor employee fell from a stepladder from a height of about 1.5 meters. He suffered a laceration requiring medical treatment.
",Level2
161,"A contractor was dismantling a scaffold.  As he was handling a scaffold board, a splinter penetrated through the glove into his hand between the thumb and first finger.  EMT?s responded and attempted to remove the splinter.  Being unsuccessful in the total removal, the contractor was taken to a physician where medical treatment was provided.  Sutures were required.",Level2
162,Contractor fell while walking on an unpaved area located in the C4 tank farm close by the Contractor's bungalows area. The person was called in on Friday to take care of the scattered seagull?s nests and to coat eggs to avoid further reproduction. Walking off-road is required. The accident occurred when the individual walked over a concrete brick covering a tank cathodic protection probes pit. He received immediate care from the nurse and was taken to the local hospital for further evaluation. The employee was sent home on Friday following the medical evaluation and on Saturday underwent surgery on his knee. The employee was released following the surgery.  ,Level2
163,"Employee was preparing to clean up an area of algae by the P-4 pumps and was clearing condensate out of the utility station/hose by the P-12 pumps. Employee was standing on the hose and opened the steam valve enough to get condensate and then steam. When the steam came out, the employee felt comfortable that they could open the valve a little more. A slug of condensate came through the hose causing it to ""whip"" catching the employee off-guard and causing them to lose their balance and fall. The hose then ""whipped"" past the employee causing steam contact to the rear of their left thigh and calf. The employee was evaluated at medical and transported to Herman Memorial where they were treated and released. ",Level2
164,"Operator was using a forklift to transfer pallets of empty 200 liter metal drums from the scrap plastic loading area onto a truck. The fork hit a patch of uneven ground and a drum fell off the pallet. The operator stepped down from the fork to recover the drum and stepped onto the uneven ground, rolling his left ankle. He was transported to a medical centre for review of the injury. X-ray showed a fracture of the distal fibula and his leg was placed in a cast.",Level2
165,"When bags on the conveyer of a bagging facility repeatedly got
stuck, an employee tried to bend the metal sheet that
obstructed the traffic of the bags. When doing so his hand slipped
off and he sustained a deep cut in the back of his hand.",Level2
166,"While securing a load on a lorry, an employee fell off the lorry and sustained a leg fracture. The employee was hospitalized for treatment. (Level III)",Level2
167,The contractor employee slid on a metallic tube protecting a cable laying on the ground and crossing the main and sole sampling building entrance.  The contractor received medical treatment at nearest local hospital for a knee injury. ,Level2
168,"While the Employee was re-igniting a Bunsen burner, he hit the tripod supporting a polymer melting pot. The melted polymer spilled onto his hand causing a burn requiring medical treatment.. He was not wearing the prescribed safety gloves",Level2
169,"Two workers were doing the cleaning and house keeping of the works.  The job of the victim consisted in looking after the movements of a mechanical shovel around the hole and to move the aspiration hosepipe depending of the works. His colleague working around him, didn?t note any abnormal behavior, only the fact that before the accident, the victim had a headache. He fell into the sewer opening and his colleague quickly asked for help from someone in the area. The control room was called. In the meantime, the two workers rescued and assisted the victim. He was takento hospital for X rays and stayed in observation for one night. No fractures were found, only some contusions.  ",Level2
170,"An engineer was climbing to the upper level of the carbonate structure in the EO unit.  After climbing several flights of stairs and ladders and stopping at a platform area, the individual turned to the operator she was with, told him she didn?t feel well and then fainted.  She was unconscious for only a few seconds.  The site EMT?s examined her and then assisted her down the structure.  She exhibited no signs of heat stress or other possible causal factors and had no difficulties the rest of the day.",Level2
171,"Employee was standing in hallway talking with another employee.  A third employee approached.  The injured employee turned to move out of the way.  In doing so, twisted ankle and fell.  Employee was seen by the plant nurse and was sent off site for evaluation.  X-ray?s showed a fracture to the left foot fifth metatarsal. ",Level2
172,On Friday 13-Jun at approximately 11:00 a contractor working on the 2nd loop reactor jacket water pump (Line 1) was injured.  The pump impeller/gear box was being removed from the impeller housing when the injury occurred.  The impeller/gearbox was being supported from overhead with only single sling at an awkward angle as the bolts were removed from the impeller housing.  When the last bolt was removed from the housing the pump shifted toward the coupling.  One contractor tried to control the pump movement and got his right thumb pinched in the pump coupling.  As a result the contractors thumb was fractured.  He was treated at a local hospital and released.,Level2
173,Two teams of two men each (Sava Contractor) were using two ?Tirfers? (ratchet winches) to remove the Reactor condenser tube bundle from the exchanger shell. One of the extension handles used on the ratchets came loose from the socket on the tirfer. With the pulling motion of the extension handle it then struck the Sava employee causing a cut to the upper lip requiring medical treatment. ,Level2
174,"Employee manually moved drums from the pallet rather than using the drum picker, which is the preferred method, resulting in a back strain. ",Level2
175,"Contractor was in the process of rigging on two pieces of 8 inch I-beam. When the rigger flagged the rig up, he noticed that the load was not level. The rigger flagged the rig back down to adjust the choker.  The choker had a curl in it and when he pulled the choker out, the I-beam rolled catching his left leg between two pieces of metal. This resulted in a laceration to his left shin.",Level2
176,"Contractor was on a 4? step ladder, lost his balance and fell into a shrub to the right of the ladder base. The contractor?s foot became wedged in the shrub and he fell in the other direction.  The contractor sustained a fracture to the right foot.",Level2
177,"An employee cut his left hand between the thumb and index finger while trying to remove a plastic tie wrap. Contributing Factors:  The employee?s hand was in the line of fire as he put force on the knife to cut the plastic tie wrap.  The employee was not wearing cut resistant gloves.
",Level2
